substitution_id,source_character,replacement_character,substitution_family,operation,visual_similarity_score,ocr_real_rate,ocr_wrong_rate,bucket,source_identity_margin,sampled_contexts,clean_eligible_contexts,character_attack_contexts,ocr_attack_contexts,ocr_attack_rate,legit_positive_contexts,legit_positive_rate,legit_min,legit_q25,legit_median,legit_mean,legit_max,meets_min_support,proxy_rank,example_original_text,example_substituted_text,example_official_legit_score,source_rank,review_label,review_state,reviewed_at,keep_threshold
5,0,ŋ,ocr_confusable,single_homoglyph,0.7244488596916199,0.0,1.0,safe_hard,0.05275881290435791,16,8,8,2,0.25,2,1.0,1.0010541677474976,1.1842103600502014,1.3673665523529053,1.3673665523529053,1.733678936958313,True,84,,,,1,keep,manual,2026-06-23T18:33:16.688888+00:00,0.16556453704833984
28,0,ꓵ,ocr_confusable,single_homoglyph,0.5914403200149536,0.0,1.0,safe_hard,0.0278891921043396,16,5,5,3,0.6,2,0.6666666666666666,-1.9400815963745117,0.16556453704833984,2.2712106704711914,0.8692773183186849,2.276702880859375,True,118,,,,2,discard,manual,2026-06-23T18:33:22.405893+00:00,0.16556453704833984
38,1,Ƭ,ocr_confusable,single_homoglyph,0.5804832577705383,0.0,1.0,safe_hard,0.0966654121875763,16,6,6,6,1.0,6,1.0,0.566530168056488,0.667680025100708,1.1490042209625244,1.3205157816410065,2.7548465728759766,True,100,,,,1,keep,manual,2026-06-23T18:33:45.739094+00:00,0.16556453704833984
48,2,Σ,ocr_confusable,single_homoglyph,0.6206383109092712,0.0,1.0,safe_hard,0.10152459144592285,16,9,9,4,0.4444444444444444,3,0.75,-0.6671980023384094,1.984747514128685,3.066235303878784,2.265874966979027,3.5982272624969482,True,50,,,,1,discard,manual,2026-06-23T18:34:06.888714+00:00,0.16556453704833984
50,2,ż,ocr_confusable,single_homoglyph,0.6168277859687805,0.0,1.0,safe_hard,0.16891807317733765,16,7,7,3,0.42857142857142855,2,0.6666666666666666,-1.352477788925171,0.7977861166000366,2.948050022125244,1.7131846745808919,3.5439817905426025,True,96,,,,2,discard,manual,2026-06-23T18:34:05.329323+00:00,0.16556453704833984
54,3,Ɔ,ocr_confusable,single_homoglyph,0.6605665683746338,0.0,1.0,safe_hard,0.10970014333724976,16,4,4,4,1.0,4,1.0,1.0766081809997559,1.0766081809997559,1.4513311982154846,1.6538896262645721,2.6362879276275635,True,88,,,,1,discard,manual,2026-06-23T18:34:21.266983+00:00,0.16556453704833984
60,3,Ꜿ,ocr_confusable,single_homoglyph,0.6081991791725159,0.0,1.0,safe_hard,0.042358338832855225,16,5,5,2,0.4,2,1.0,0.03534293174743652,0.5461000204086304,1.0568571090698242,1.0568571090698242,2.078371286392212,True,104,,,,2,discard,manual,2026-06-23T18:34:22.539839+00:00,0.16556453704833984
70,4,Ⅱ,ocr_confusable,single_homoglyph,0.6066344380378723,0.0,1.0,safe_hard,0.1898171603679657,16,5,5,5,1.0,4,0.8,-1.3964908123016357,2.4559288024902344,2.4559288024902344,1.8089754104614257,2.879469871520996,True,24,,,,1,discard,manual,2026-06-23T18:34:26.065167+00:00,0.16556453704833984
76,5,ʂ,ocr_confusable,single_homoglyph,0.6097654700279236,0.0,1.0,safe_hard,0.11010530591011047,16,11,11,3,0.2727272727272727,3,1.0,0.23551714420318604,0.3257228434085846,0.41592854261398315,0.449258287747701,0.6963291764259338,True,112,,,,1,discard,manual,2026-06-23T18:34:34.037460+00:00,0.16556453704833984
80,6,Ε,ocr_confusable,single_homoglyph,0.6694785356521606,0.0,1.0,safe_hard,0.049118995666503906,16,6,6,6,1.0,6,1.0,0.24958536028862,0.8623324036598206,1.1012897789478302,1.1902890553077061,2.4312527179718018,True,94,,,,1,discard,manual,2026-06-23T18:34:37.690372+00:00,0.16556453704833984
88,6,Є,ocr_confusable,single_homoglyph,0.632348358631134,0.0,1.0,safe_hard,0.05254483222961426,16,8,8,8,1.0,8,1.0,0.20453175902366638,0.7036918252706528,0.8107426166534424,0.8088801093399525,1.3328133821487427,True,98,,,,2,discard,manual,2026-06-23T18:34:39.764259+00:00,0.16556453704833984
125,8,,ocr_confusable,single_homoglyph,0.5908493995666504,0.0,1.0,safe_hard,0.0017421841621398926,16,9,9,2,0.2222222222222222,2,1.0,1.547065258026123,1.6520143747329712,1.7569634914398193,1.7569634914398193,1.9668617248535156,True,59,,,,1,discard,manual,2026-06-23T18:34:50.110807+00:00,0.16556453704833984
136,a,ǝ,ocr_confusable,single_homoglyph,0.8225683569908142,0.0,1.0,safe_hard,0.037408530712127686,16,7,7,3,0.42857142857142855,3,1.0,3.5390820503234863,3.9359090328216553,4.332736015319824,4.157726923624675,4.601362705230713,True,2,,,,1,keep,manual,2026-06-23T18:34:54.772118+00:00,0.16556453704833984
140,a,π,ocr_confusable,single_homoglyph,0.6368243098258972,0.0,1.0,safe_hard,0.04978787899017334,16,2,2,2,1.0,2,1.0,2.3793632984161377,2.454176664352417,2.5289900302886963,2.5289900302886963,2.678616762161255,True,25,,,,2,discard,manual,2026-06-23T18:34:57.996634+00:00,0.16556453704833984
155,b,ȯ,ocr_confusable,single_homoglyph,0.6859208345413208,0.0,1.0,safe_hard,0.017035305500030518,16,3,3,2,0.6666666666666666,2,1.0,3.6785717010498047,3.8402000665664673,4.00182843208313,4.00182843208313,4.325085163116455,True,4,,,,1,discard,manual,2026-06-23T18:35:07.525331+00:00,0.16556453704833984
172,b,ﬁ,ocr_confusable,single_homoglyph,0.6556484699249268,0.0,1.0,safe_hard,0.008047401905059814,16,5,5,5,1.0,5,1.0,0.36158210039138794,2.1399595737457275,2.621180295944214,2.2586846470832826,3.447183847427368,True,42,,,,2,discard,manual,2026-06-23T18:35:09.070922+00:00,0.16556453704833984
186,c,ᴦ,ocr_confusable,single_homoglyph,0.6099834442138672,0.0,1.0,safe_hard,0.18553364276885986,16,4,4,2,0.5,2,1.0,3.7459068298339844,3.857075333595276,3.9682438373565674,3.9682438373565674,4.19058084487915,True,3,,,,1,discard,manual,2026-06-23T18:35:14.629524+00:00,0.16556453704833984
185,c,ᴌ,ocr_confusable,single_homoglyph,0.6308404207229614,0.0,1.0,safe_hard,0.19906163215637207,16,6,6,3,0.5,3,1.0,1.4302846193313599,2.1324462294578552,2.8346078395843506,2.540171504020691,3.3556220531463623,True,43,,,,2,discard,manual,2026-06-23T18:35:15.743409+00:00,0.16556453704833984
200,d,ė,ocr_confusable,single_homoglyph,0.6143762469291687,0.0,1.0,safe_hard,0.0034200549125671387,16,6,6,6,1.0,6,1.0,2.0261058807373047,3.4035430550575256,3.579522490501404,3.3904862801233926,3.946760892868042,True,8,,,,1,discard,manual,2026-06-23T18:35:21.005275+00:00,0.16556453704833984
199,d,á,ocr_confusable,single_homoglyph,0.615165650844574,0.0,1.0,safe_hard,0.08545047044754028,16,4,4,4,1.0,4,1.0,1.729275107383728,2.348371058702469,2.947680711746216,2.8636999428272247,3.8301632404327393,True,31,,,,2,discard,manual,2026-06-23T18:35:22.554753+00:00,0.16556453704833984
221,f,╻,ocr_confusable,single_homoglyph,0.6297110915184021,0.0,1.0,safe_hard,0.06492060422897339,16,6,6,3,0.5,3,1.0,1.843038558959961,2.0851874351501465,2.327336311340332,2.2974096139272056,2.7218539714813232,True,47,,,,1,discard,manual,2026-06-23T18:35:27.910103+00:00,0.16556453704833984
224,f,ἶ,ocr_confusable,single_homoglyph,0.5827571153640747,0.0,1.0,safe_hard,0.16231483221054077,16,6,6,3,0.5,3,1.0,1.6159950494766235,1.947441041469574,2.2788870334625244,2.485338886578878,3.5611345767974854,True,51,,,,2,discard,manual,2026-06-23T18:35:29.134060+00:00,0.16556453704833984
230,g,ᐁ,ocr_confusable,single_homoglyph,0.5562578439712524,0.0,1.0,safe_hard,0.01696556806564331,16,3,3,3,1.0,3,1.0,2.3283698558807373,2.3577024936676025,2.3870351314544678,2.7514642079671225,3.538987636566162,True,29,,,,1,discard,manual,2026-06-23T18:35:33.210653+00:00,0.16556453704833984
