source_character,replacement_character,unicode_name
-,–,EN DASH
-,‒,FIGURE DASH
-,‐,HYPHEN
-,−,MINUS SIGN
-,‑,NON-BREAKING HYPHEN
0,٠,ARABIC-INDIC DIGIT ZERO
0,۰,EXTENDED ARABIC-INDIC DIGIT ZERO
0,𝟘,MATHEMATICAL DOUBLE-STRUCK DIGIT ZERO
0,𝟢,MATHEMATICAL SANS-SERIF DIGIT ZERO
0,߀,NKO DIGIT ZERO
1,١,ARABIC-INDIC DIGIT ONE
1,۱,EXTENDED ARABIC-INDIC DIGIT ONE
1,𝟙,MATHEMATICAL DOUBLE-STRUCK DIGIT ONE
1,𝟣,MATHEMATICAL SANS-SERIF DIGIT ONE
1,߁,NKO DIGIT ONE
2,٢,ARABIC-INDIC DIGIT TWO
2,۲,EXTENDED ARABIC-INDIC DIGIT TWO
2,𝟚,MATHEMATICAL DOUBLE-STRUCK DIGIT TWO
2,𝟤,MATHEMATICAL SANS-SERIF DIGIT TWO
2,߂,NKO DIGIT TWO
3,٣,ARABIC-INDIC DIGIT THREE
3,۳,EXTENDED ARABIC-INDIC DIGIT THREE
3,𝟛,MATHEMATICAL DOUBLE-STRUCK DIGIT THREE
3,𝟥,MATHEMATICAL SANS-SERIF DIGIT THREE
3,߃,NKO DIGIT THREE
4,٤,ARABIC-INDIC DIGIT FOUR
4,۴,EXTENDED ARABIC-INDIC DIGIT FOUR
4,𝟜,MATHEMATICAL DOUBLE-STRUCK DIGIT FOUR
4,𝟦,MATHEMATICAL SANS-SERIF DIGIT FOUR
4,߄,NKO DIGIT FOUR
5,٥,ARABIC-INDIC DIGIT FIVE
5,۵,EXTENDED ARABIC-INDIC DIGIT FIVE
5,𝟝,MATHEMATICAL DOUBLE-STRUCK DIGIT FIVE
5,𝟧,MATHEMATICAL SANS-SERIF DIGIT FIVE
5,߅,NKO DIGIT FIVE
6,٦,ARABIC-INDIC DIGIT SIX
6,۶,EXTENDED ARABIC-INDIC DIGIT SIX
6,𝟞,MATHEMATICAL DOUBLE-STRUCK DIGIT SIX
6,𝟨,MATHEMATICAL SANS-SERIF DIGIT SIX
6,߆,NKO DIGIT SIX
7,٧,ARABIC-INDIC DIGIT SEVEN
7,۷,EXTENDED ARABIC-INDIC DIGIT SEVEN
7,𝟟,MATHEMATICAL DOUBLE-STRUCK DIGIT SEVEN
7,𝟩,MATHEMATICAL SANS-SERIF DIGIT SEVEN
7,߇,NKO DIGIT SEVEN
8,٨,ARABIC-INDIC DIGIT EIGHT
8,۸,EXTENDED ARABIC-INDIC DIGIT EIGHT
8,𝟠,MATHEMATICAL DOUBLE-STRUCK DIGIT EIGHT
8,𝟪,MATHEMATICAL SANS-SERIF DIGIT EIGHT
8,߈,NKO DIGIT EIGHT
9,٩,ARABIC-INDIC DIGIT NINE
9,۹,EXTENDED ARABIC-INDIC DIGIT NINE
9,𝟡,MATHEMATICAL DOUBLE-STRUCK DIGIT NINE
9,𝟫,MATHEMATICAL SANS-SERIF DIGIT NINE
9,߉,NKO DIGIT NINE
a,а,CYRILLIC SMALL LETTER A
a,á,LATIN SMALL LETTER A WITH ACUTE
a,ă,LATIN SMALL LETTER A WITH BREVE
a,ǎ,LATIN SMALL LETTER A WITH CARON
a,â,LATIN SMALL LETTER A WITH CIRCUMFLEX
a,ä,LATIN SMALL LETTER A WITH DIAERESIS
a,ạ,LATIN SMALL LETTER A WITH DOT BELOW
a,à,LATIN SMALL LETTER A WITH GRAVE
a,ā,LATIN SMALL LETTER A WITH MACRON
a,ą,LATIN SMALL LETTER A WITH OGONEK
a,ã,LATIN SMALL LETTER A WITH TILDE
a,𝖺,MATHEMATICAL SANS-SERIF SMALL A
b,ḃ,LATIN SMALL LETTER B WITH DOT ABOVE
b,ɓ,LATIN SMALL LETTER B WITH HOOK
b,ƀ,LATIN SMALL LETTER B WITH STROKE
b,𝖻,MATHEMATICAL SANS-SERIF SMALL B
c,с,CYRILLIC SMALL LETTER ES
c,ϲ,GREEK LUNATE SIGMA SYMBOL
c,ᴄ,LATIN LETTER SMALL CAPITAL C
c,ć,LATIN SMALL LETTER C WITH ACUTE
c,č,LATIN SMALL LETTER C WITH CARON
c,ç,LATIN SMALL LETTER C WITH CEDILLA
c,ĉ,LATIN SMALL LETTER C WITH CIRCUMFLEX
c,ċ,LATIN SMALL LETTER C WITH DOT ABOVE
c,𝖼,MATHEMATICAL SANS-SERIF SMALL C
c,ⅽ,SMALL ROMAN NUMERAL ONE HUNDRED
d,ď,LATIN SMALL LETTER D WITH CARON
d,ḋ,LATIN SMALL LETTER D WITH DOT ABOVE
d,ḍ,LATIN SMALL LETTER D WITH DOT BELOW
d,đ,LATIN SMALL LETTER D WITH STROKE
d,𝖽,MATHEMATICAL SANS-SERIF SMALL D
d,ⅾ,SMALL ROMAN NUMERAL FIVE HUNDRED
e,е,CYRILLIC SMALL LETTER IE
e,é,LATIN SMALL LETTER E WITH ACUTE
e,ĕ,LATIN SMALL LETTER E WITH BREVE
e,ě,LATIN SMALL LETTER E WITH CARON
e,ê,LATIN SMALL LETTER E WITH CIRCUMFLEX
e,ë,LATIN SMALL LETTER E WITH DIAERESIS
e,ė,LATIN SMALL LETTER E WITH DOT ABOVE
e,ẹ,LATIN SMALL LETTER E WITH DOT BELOW
e,è,LATIN SMALL LETTER E WITH GRAVE
e,ē,LATIN SMALL LETTER E WITH MACRON
e,ę,LATIN SMALL LETTER E WITH OGONEK
e,𝖾,MATHEMATICAL SANS-SERIF SMALL E
f,ḟ,LATIN SMALL LETTER F WITH DOT ABOVE
f,ƒ,LATIN SMALL LETTER F WITH HOOK
f,ſ,LATIN SMALL LETTER LONG S
f,𝖿,MATHEMATICAL SANS-SERIF SMALL F
g,ց,ARMENIAN SMALL LETTER CO
g,ğ,LATIN SMALL LETTER G WITH BREVE
g,ǧ,LATIN SMALL LETTER G WITH CARON
g,ģ,LATIN SMALL LETTER G WITH CEDILLA
g,ĝ,LATIN SMALL LETTER G WITH CIRCUMFLEX
g,ġ,LATIN SMALL LETTER G WITH DOT ABOVE
g,𝗀,MATHEMATICAL SANS-SERIF SMALL G
h,հ,ARMENIAN SMALL LETTER HO
h,һ,CYRILLIC SMALL LETTER SHHA
h,ĥ,LATIN SMALL LETTER H WITH CIRCUMFLEX
h,ḣ,LATIN SMALL LETTER H WITH DOT ABOVE
h,ḥ,LATIN SMALL LETTER H WITH DOT BELOW
