source_character,replacement_character,primary_sub,unicode_name
a,ǝ,e,LATIN SMALL LETTER TURNED E
a,ə,e,LATIN SMALL LETTER SCHWA
a,ә,e,CYRILLIC SMALL LETTER SCHWA
b,ե,u,ARMENIAN SMALL LETTER ECH
d,մ,u,ARMENIAN SMALL LETTER MEN
e,ɵ,o,LATIN SMALL LETTER BARRED O
e,ѳ,o,CYRILLIC SMALL LETTER FITA
e,ө,o,CYRILLIC SMALL LETTER BARRED O
i,ı,l,LATIN SMALL LETTER DOTLESS I
l,ƚ,i,LATIN SMALL LETTER L WITH BAR
l,𝗅,j,MATHEMATICAL SANS-SERIF SMALL L
n,п,r,CYRILLIC SMALL LETTER PE
n,ᴨ,r,GREEK LETTER SMALL CAPITAL PI
o,ɑ,d,LATIN SMALL LETTER ALPHA
o,ɢ,c,LATIN LETTER SMALL CAPITAL G
o,ם,n,HEBREW LETTER FINAL MEM
p,ր,h,ARMENIAN SMALL LETTER REH
q,ɥ,u,LATIN SMALL LETTER TURNED H
s,ᴣ,3,LATIN LETTER SMALL CAPITAL EZH
u,џ,1,CYRILLIC SMALL LETTER DZHE
u,ߎ,1,NKO LETTER U
