source_character,replacement_character,candidate_codepoint,unicode_name,glyph_similarity,area_ratio,source_identity_margin,closest_other_source,closest_other_similarity,font_path,font_size,canvas_size
-,‐,U+2010,HYPHEN,1.0,1.0,0.9137213818685367,f,0.08627861813146327,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
-,‑,U+2011,NON-BREAKING HYPHEN,1.0,1.0,0.9137213818685367,f,0.08627861813146327,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
0,߀,U+07C0,NKO DIGIT ZERO,1.0,1.0,0.27675893339874225,9,0.7232410666012578,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
0,𝟢,U+1D7E2,MATHEMATICAL SANS-SERIF DIGIT ZERO,1.0,1.0,0.27675893339874225,9,0.7232410666012578,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
1,𝟣,U+1D7E3,MATHEMATICAL SANS-SERIF DIGIT ONE,0.9999998814298375,1.0,0.5460342234374806,7,0.45396565799235694,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
2,𝟤,U+1D7E4,MATHEMATICAL SANS-SERIF DIGIT TWO,1.0,1.0,0.3683603571330477,3,0.6316396428669523,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
3,𝟥,U+1D7E5,MATHEMATICAL SANS-SERIF DIGIT THREE,0.9999999030804804,1.0,0.3427985775000941,5,0.6572013255803862,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
4,𝟦,U+1D7E6,MATHEMATICAL SANS-SERIF DIGIT FOUR,1.0,1.0,0.54163338197073,a,0.45836661802927,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
5,𝟧,U+1D7E7,MATHEMATICAL SANS-SERIF DIGIT FIVE,1.0000000931206903,1.0,0.34279876754030403,3,0.6572013255803862,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
6,𝟨,U+1D7E8,MATHEMATICAL SANS-SERIF DIGIT SIX,1.0,1.0,0.27742639345724673,0,0.7225736065427533,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
7,𝟩,U+1D7E9,MATHEMATICAL SANS-SERIF DIGIT SEVEN,0.9999999362139863,1.0,0.434218341132241,y,0.5657815950817453,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
8,𝟪,U+1D7EA,MATHEMATICAL SANS-SERIF DIGIT EIGHT,1.0,1.0,0.3186652627359966,6,0.6813347372640034,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
9,𝟫,U+1D7EB,MATHEMATICAL SANS-SERIF DIGIT NINE,1.0000000789144092,1.0,0.2287889169602978,g,0.7712111619541114,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
a,а,U+0430,CYRILLIC SMALL LETTER A,0.9999999011058248,1.0,0.31894682839383703,e,0.6810530727119878,/home/software/anaconda3/2023.07/lib/python3.11/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf,192,320
