run_name,encoder_type,pooling,remove_padding,background,slice_width,stride,pad_to_width,num_epochs,max_samples,max_batches,best_val_auc,best_epoch,total_seconds,status,error
conv1d__sweep__attention__nopad__black__sw16__st16,conv1d,attention,False,black,16,16,,5,,,0.9972666663994703,4,978.2192566394806,ok,
conv1d__sweep__attention__nopad__black__sw16__st8,conv1d,attention,False,black,16,8,,5,,,0.9955711300166226,5,1034.4750168323517,ok,
conv1d__sweep__attention__nopad__black__sw32__st16,conv1d,attention,False,black,32,16,,5,,,0.585172734729412,5,1002.8473689556122,ok,
conv1d__sweep__attention__nopad__black__sw32__st32,conv1d,attention,False,black,32,32,,5,,,0.37579766883787097,4,981.5731372833252,ok,
conv1d__sweep__attention__nopad__black__sw3__st1,conv1d,attention,False,black,3,1,,5,,,0.5642340148646089,1,1391.8785440921783,ok,
conv1d__sweep__attention__nopad__black__sw3__st3,conv1d,attention,False,black,3,3,,5,,,0.5919012521701733,1,1079.5097334384918,ok,
conv1d__sweep__attention__nopad__black__sw4__st2,conv1d,attention,False,black,4,2,,5,,,0.6221869212980106,2,1201.8230562210083,ok,
conv1d__sweep__attention__nopad__black__sw4__st4,conv1d,attention,False,black,4,4,,5,,,0.5758211022659371,4,1084.7938268184662,ok,
conv1d__sweep__attention__nopad__black__sw6__st3,conv1d,attention,False,black,6,3,,5,,,0.9140086200512078,5,1120.2667427062988,ok,
conv1d__sweep__attention__nopad__black__sw6__st6,conv1d,attention,False,black,6,6,,5,,,nan,-1,0.6938917636871338,failed,"RuntimeError('CUDA error: uncorrectable ECC error encountered\nCUDA kernel errors might be asynchronously reported at some other API call, so the stacktrace below might be incorrect.\nFor debugging consider passing CUDA_LAUNCH_BLOCKING=1\nCompile with `TORCH_USE_CUDA_DSA` to enable device-side assertions.\n')"
conv1d__sweep__attention__nopad__black__sw8__st4,conv1d,attention,False,black,8,4,,5,,,0.9228765541472941,5,1071.806025981903,ok,
conv1d__sweep__attention__nopad__black__sw8__st8,conv1d,attention,False,black,8,8,,5,,,0.5472305338743947,1,1016.5641694068909,ok,
conv1d__sweep__attention__pad__black__sw16__st16,conv1d,attention,True,black,16,16,,5,,,nan,-1,2.430877685546875,failed,"ValueError('Caught ValueError in DataLoader worker process 1.\nOriginal Traceback (most recent call last):\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/worker.py"", line 349, in _worker_loop\n    data = fetcher.fetch(index)  # type: ignore[possibly-undefined]\n           ^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in fetch\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/torch/utils/data/_utils/fetch.py"", line 52, in <listcomp>\n    data = [self.dataset[idx] for idx in possibly_batched_index]\n            ~~~~~~~~~~~~^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 80, in __getitem__\n    process(name_a),\n    ^^^^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/training/dataset.py"", line 70, in process\n    slices = slice_image(\n             ^^^^^^^^^^^^\n  File ""/orcd/home/002/setliu22/fine-grained-homoglyph-detection/rendering/slicer.py"", line 53, in slice_image\n    return np.stack(slices, axis=0)\n           ^^^^^^^^^^^^^^^^^^^^^^^^\n  File ""/home/setliu22/.conda/envs/itau/lib/python3.11/site-packages/numpy/core/shape_base.py"", line 445, in stack\n    raise ValueError(\'need at least one array to stack\')\nValueError: need at least one array to stack\n')"
