source_character	replacement_character	primary_sub	unicode_name	example_original_text	example_substituted_text
a	ǝ	e	LATIN SMALL LETTER TURNED E	grammarly	grǝmmarly
a	ə	e	LATIN SMALL LETTER SCHWA	egovtjobalert	egovtjobəlert
a	ә	e	CYRILLIC SMALL LETTER SCHWA	marketingandweb	mәrketingandweb
b	ե	u	ARMENIAN SMALL LETTER ECH	arobasenet	aroեasenet
d	մ	u	ARMENIAN SMALL LETTER MEN	gameduell	gameմuell
e	ɇ	4	LATIN SMALL LETTER E WITH STROKE	niedziela	niɇdziela
e	ɵ	o	LATIN SMALL LETTER BARRED O	templatemag	templatɵmag
e	ѳ	o	CYRILLIC SMALL LETTER FITA	eyebuydirect	eyѳbuydirect
e	ө	o	CYRILLIC SMALL LETTER BARRED O	distilnetworks	distilnөtworks
i	ı	l	LATIN SMALL LETTER DOTLESS I	deolhonocariri	deolhonocarıri
l	ƚ	i	LATIN SMALL LETTER L WITH BAR	hilton	hiƚton
l	𝗅	j	MATHEMATICAL SANS-SERIF SMALL L	carcomplaints	carcomp𝗅aints
n	п	r	CYRILLIC SMALL LETTER PE	easycron	easycroп
n	ᴨ	r	GREEK LETTER SMALL CAPITAL PI	thebestspinner	thebestspinᴨer
o	ø	a	LATIN SMALL LETTER O WITH STROKE	yugopolis	yugøpolis
o	ɑ	d	LATIN SMALL LETTER ALPHA	deolhonocariri	deɑlhonocariri
o	ɢ	c	LATIN LETTER SMALL CAPITAL G	yoocel	yoɢcel
o	ם	n	HEBREW LETTER FINAL MEM	deolhonocariri	deםlhonocariri
o	⌀	a	DIAMETER SIGN	bajalogratis	bajal⌀gratis
p	ր	h	ARMENIAN SMALL LETTER REH	carcomplaints	carcomրlaints
q	ɥ	u	LATIN SMALL LETTER TURNED H	queveohoy	ɥueveohoy
s	ᴣ	3	LATIN LETTER SMALL CAPITAL EZH	passionatepennypincher	paᴣsionatepennypincher
u	џ	1	CYRILLIC SMALL LETTER DZHE	tounsi-blid	toџnsi-blid
u	ߎ	1	NKO LETTER U	bradescosaude	bradescosaߎde
y	¥	4	YEN SIGN	1-2-fly	1-2-fl¥
